OffloadRatio,PCIe_Transfer_ms,Compute_Resident_ms,Compute_Offloaded_ms,PCIe_Bandwidth_GBs,GPU_Throughput_GBs,Total_Kernel_Time_ms,Total_Compute_Time_ms
0.005,0.013,0.127,0.049,15.222,233.615,0.182,0.175
0.010,0.021,0.115,0.043,19.663,258.480,0.167,0.158
0.015,0.028,0.115,0.044,21.803,257.578,0.167,0.159
0.020,0.036,0.115,0.044,22.891,257.312,0.167,0.159
0.025,0.043,0.115,0.045,23.566,256.231,0.167,0.160
0.030,0.051,0.116,0.045,23.949,254.643,0.170,0.161
0.035,0.059,0.115,0.046,24.416,254.172,0.174,0.161
0.040,0.066,0.115,0.047,24.814,252.953,0.175,0.162
0.045,0.074,0.115,0.047,24.890,252.118,0.175,0.162
0.050,0.081,0.115,0.048,25.184,251.824,0.175,0.163
0.055,0.089,0.116,0.044,25.236,256.048,0.171,0.160
0.060,0.097,0.115,0.042,25.389,261.213,0.168,0.157
0.065,0.104,0.115,0.041,25.543,261.853,0.167,0.156
0.070,0.112,0.115,0.042,25.580,261.292,0.167,0.157
0.075,0.120,0.116,0.042,25.588,258.024,0.167,0.159
0.080,0.127,0.117,0.043,25.722,256.238,0.175,0.160
0.085,0.135,0.117,0.044,25.779,254.299,0.183,0.161
0.090,0.142,0.117,0.045,25.891,253.281,0.192,0.162
0.095,0.150,0.117,0.045,25.882,252.416,0.200,0.162
0.100,0.158,0.117,0.046,25.958,251.516,0.208,0.163
0.105,0.165,0.117,0.047,26.020,249.867,0.216,0.164
0.110,0.173,0.117,0.048,26.016,249.008,0.224,0.164
0.115,0.181,0.117,0.048,26.047,248.378,0.232,0.165
0.120,0.188,0.117,0.048,26.094,248.202,0.240,0.165
0.125,0.196,0.117,0.046,26.132,251.587,0.246,0.163
0.130,0.204,0.117,0.042,26.144,257.837,0.249,0.159
0.135,0.211,0.117,0.042,26.194,257.578,0.257,0.159
0.140,0.219,0.117,0.043,26.173,257.054,0.265,0.159
0.145,0.226,0.117,0.043,26.222,255.996,0.273,0.160
0.150,0.234,0.117,0.044,26.229,255.693,0.281,0.160
0.155,0.242,0.116,0.044,26.252,254.981,0.289,0.161
0.160,0.249,0.116,0.045,26.286,254.784,0.298,0.161
0.165,0.257,0.116,0.045,26.267,253.358,0.306,0.162
0.170,0.265,0.116,0.046,26.310,253.527,0.314,0.162
0.175,0.273,0.116,0.046,26.297,251.887,0.322,0.163
0.180,0.280,0.116,0.047,26.328,251.795,0.330,0.163
0.185,0.288,0.080,0.044,26.356,328.208,0.336,0.125
0.190,0.295,0.081,0.045,26.339,325.349,0.344,0.126
0.195,0.303,0.080,0.045,26.372,326.085,0.352,0.126
0.200,0.311,0.080,0.046,26.371,324.137,0.360,0.126
0.205,0.318,0.080,0.046,26.374,323.511,0.368,0.127
0.210,0.326,0.080,0.047,26.419,321.761,0.376,0.127
0.215,0.334,0.080,0.047,26.393,320.065,0.385,0.128
0.220,0.341,0.080,0.048,26.425,319.947,0.393,0.128
0.225,0.349,0.080,0.049,26.417,317.395,0.401,0.129
0.230,0.356,0.080,0.046,26.426,323.614,0.406,0.127
0.235,0.364,0.080,0.043,26.454,333.165,0.410,0.123
0.240,0.372,0.080,0.042,26.448,335.049,0.417,0.122
0.245,0.379,0.080,0.043,26.473,333.783,0.425,0.123
0.250,0.387,0.080,0.043,26.455,332.198,0.434,0.123
