Offload Ratio (%),Total DRAM (%),DRAM Read (%),DRAM Write (%),Effective Memory BW (GB/s),Effective Tokens/s,SM Active (%),Tensor Active (%),Avg Step Time (ms),Paged Attention Runtime (ms),Peak GPU Mem (Alloc GB),Total Memory IO (GB),Weights Loaded (GB),KV Cache Read (GB),KV Cache Written (GB)
0,50.842388142082264,47.562068365424864,3.2803197766574153,1787.23,18905.66,91.87940025934262,42.64202979798346,54.2166,0.6675829999999999,89.92,90.2427,16.0,73.7422,0.500488
1,50.92974659605395,47.33473800413779,3.5950085919161627,1782.88,18859.62,91.6820002499805,42.43033734367324,54.3489,0.0,89.29,90.2427,16.0,73.7422,0.500488
2,51.2104048990561,47.28763083447153,3.922774064584555,1779.43,18823.22,91.68188380775831,42.3140291785883,54.454,0.673926,88.62,90.2427,16.0,73.7422,0.500488
3,51.401791391020026,47.15289667342681,4.2488947175932115,1776.44,18791.57,91.5628541277014,42.160243686010865,54.5457,0.6769059999999999,87.95,90.2427,16.0,73.7422,0.500488
4,51.55541486509018,46.99589882408313,4.559516041007047,1770.11,18724.57,91.55343984423034,42.105689628186674,54.7409,0.6793060000000001,87.28,90.2427,16.0,73.7422,0.500488
5,51.73507859206254,46.85986881351346,4.875209778549099,1765.92,18680.25,91.4698552939695,41.954912579512595,54.8708,0.683338,86.62,90.2427,16.0,73.7422,0.500488
6,52.03607346801073,46.83416087203632,5.201912595974417,1763.38,18653.43,91.44629256226914,41.840310890989976,54.9497,0.6857300000000001,85.95,90.2427,16.0,73.7422,0.500488
7,52.24411377978179,46.71968826389183,5.524425515889943,1759.28,18610.02,91.39927547017355,41.78640660368973,55.0779,0.6889919999999999,85.28,90.2427,16.0,73.7422,0.500488
8,52.43567575011073,46.604043046564215,5.831632703546522,1753.91,18553.19,91.4806729246725,41.70262448740889,55.2466,0.692158,84.61,90.2427,16.0,73.7422,0.500488
9,52.64412596409673,46.49679738252125,6.147328581575483,1751.96,18532.62,91.45572151083972,41.65452966986331,55.3079,0.694729,83.95,90.2427,16.0,73.7422,0.500488
10,52.87425984329278,46.41077203839927,6.463487804893501,1746.83,18478.3,91.37125264849927,41.526853096711804,55.4705,0.697918,83.28,90.2427,16.0,73.7422,0.500488
11,53.084460000840444,46.30074581344227,6.783714187398176,1744.65,18455.3,91.20553206027745,41.34616066616837,55.5396,0.701033,82.6,90.2427,16.0,73.7422,0.500488
