Offload Ratio (%),Total DRAM (%),DRAM Read (%),DRAM Write (%),Effective Memory BW (GB/s),Effective Tokens/s,SM Active (%),Tensor Active (%),Avg Step Time (ms),Paged Attention Runtime (ms),Peak GPU Mem (Alloc GB),Total Memory IO (GB),Weights Loaded (GB),KV Cache Read (GB),KV Cache Written (GB)
0,49.7996736937351,46.33624726415021,3.4634264295848998,1547.93,20407.33,92.65801913090515,48.33397476603832,62.7716,0.663089,90.08,90.4927,16.0,73.8672,0.625488
1,49.98629554978889,46.24377870001678,3.7425168497721053,1543.56,20349.74,92.5478282222602,48.196467638946395,62.9492,0.0,89.45,90.4927,16.0,73.8672,0.625488
2,50.256531613152816,46.22618137431761,4.030350238835207,1539.28,20293.29,92.49347511249196,48.00137931410611,63.1243,0.667996,88.78,90.4927,16.0,73.8672,0.625488
3,50.415928002167945,46.10933441624751,4.30659358592044,1537.45,20269.19,92.45505115015827,47.86479328941918,63.1994,0.670913,88.11,90.4927,16.0,73.8672,0.625488
4,50.70475401517771,46.10640561360863,4.598348401569072,1534.67,20232.52,92.40914996070444,47.76794226094797,63.3139,0.6737949999999999,87.43,90.4927,16.0,73.8672,0.625488
5,50.786676152041416,45.92375149311607,4.862924658925345,1532.12,20198.94,92.33939739973489,47.7120197952461,63.4192,0.676588,86.77,90.4927,16.0,73.8672,0.625488
6,51.03581736579041,45.895594801816,5.140222563974423,1529.15,20159.85,92.36512209575399,47.56896743210828,63.5422,0.679,86.1,90.4927,16.0,73.8672,0.625488
7,51.187562381741465,45.77764816901185,5.4099142127296105,1527.01,20131.53,92.28743630097783,47.445541742601506,63.6315,0.682194,85.43,90.4927,16.0,73.8672,0.625488
8,51.44417496999131,45.747313671135515,5.696861298855793,1520.55,20046.43,92.33220784765135,47.399323637287296,63.9016,0.685314,84.76,90.4927,16.0,73.8672,0.625488
9,51.58707680801359,45.62512023200357,5.961956576010018,1520.56,20046.53,92.27502438933443,47.27613431939366,63.9013,0.686941,84.09,90.4927,16.0,73.8672,0.625488
10,51.70479349460037,45.47753771147076,6.2272557831296185,1517.22,20002.54,92.25840741640116,47.3121253052508,64.0419,0.690496,83.42,90.4927,16.0,73.8672,0.625488
