Offload Ratio (%),Total DRAM (%),DRAM Read (%),DRAM Write (%),Effective Memory BW (GB/s),Effective Tokens/s,SM Active (%),Tensor Active (%),Avg Step Time (ms),Paged Attention Runtime (ms),Peak GPU Mem (Alloc GB),Total Memory IO (GB),Weights Loaded (GB),KV Cache Read (GB),KV Cache Written (GB)
0,67.26984153638216,64.82289698468388,2.4469445516982686,2506.0,13341.34,91.44052713702962,28.126644924153315,38.4519,0.668774,89.6,89.7427,16.0,73.4922,0.250488
1,67.19854959076733,64.31447522986072,2.8840743609066264,2493.71,13275.93,91.05508384186037,27.930438082514833,38.6413,0.672591,88.98,89.7427,16.0,73.4922,0.250488
2,67.39447348749226,64.05697675374311,3.337496733749152,2481.16,13209.12,91.00700992725065,27.74117471209845,38.8368,0.67701,88.31,89.7427,16.0,73.4922,0.250488
3,67.57318878771129,63.78488634590403,3.788302441807254,2470.92,13154.6,90.90421668434556,27.61558813645005,38.9978,0.680816,87.65,89.7427,16.0,73.4922,0.250488
4,67.67822029583635,63.46112993916957,4.217090356666785,2461.47,13104.29,90.87127734913135,27.427950258425827,39.1475,0.6849059999999999,86.97,89.7427,16.0,73.4922,0.250488
5,68.01447989496886,63.34413557546498,4.670344319503879,2451.32,13050.27,90.91240368747287,27.339596438829503,39.3095,0.689309,86.31,89.7427,16.0,73.4922,0.250488
6,67.99542562293048,62.90204222390877,5.093383399021715,2438.22,12980.52,90.71317877427703,27.198178977057,39.5208,0.692804,85.65,89.7427,16.0,73.4922,0.250488
7,68.21211155392798,62.69222660786754,5.519884946060448,2428.69,12929.78,90.67041459482951,27.046346970257897,39.6758,0.6971459999999999,84.98,89.7427,16.0,73.4922,0.250488
8,68.31823440151274,62.367822522026636,5.9504118794860945,2421.33,12890.57,90.5571898101106,26.92798329538805,39.7965,0.700742,84.31,89.7427,16.0,73.4922,0.250488
9,68.59974943633748,62.220112151957146,6.379637284380312,2411.7,12839.33,90.7147915052768,26.856682561139092,39.9554,0.705688,83.65,89.7427,16.0,73.4922,0.250488
