Offload Ratio (%),Total DRAM (%),DRAM Read (%),DRAM Write (%),Effective Memory BW (GB/s),Effective Tokens/s,SM Active (%),Tensor Active (%),Avg Step Time (ms),Paged Attention Runtime (ms),Peak GPU Mem (Alloc GB),Total Memory IO (GB),Weights Loaded (GB),KV Cache Read (GB),KV Cache Written (GB)
0,39.696669480698404,35.80763329104009,3.889036189658317,1108.87,23191.34,93.89033917488574,57.69676642541329,88.3519,0.659369,90.55,91.2427,16.0,74.2422,1.000488
1,39.89866743512991,35.80737465630133,4.091292778828581,1103.25,23073.65,93.87784549098882,57.608766310930775,88.8026,0.662193,89.92,91.2427,16.0,74.2422,1.000488
2,40.03674231045771,35.74103009885023,4.295712211607483,1104.36,23096.94,93.81542870931054,57.565264108699985,88.7131,0.6646420000000001,89.25,91.2427,16.0,74.2422,1.000488
3,40.16621708478545,35.67433733481617,4.491879749969274,1101.62,23039.72,93.78112128707107,57.44555044846587,88.9334,0.6666380000000001,88.57,91.2427,16.0,74.2422,1.000488
4,40.4273806709206,35.72362958892457,4.703751081996029,1102.36,23055.06,93.84504380312302,57.422411232917035,88.8742,0.6674829999999999,87.89,91.2427,16.0,74.2422,1.000488
5,40.52396144760931,35.63232584111603,4.891635606493286,1101.77,23042.85,93.83282492936554,57.376710214895155,88.9213,0.6700510000000001,87.23,91.2427,16.0,74.2422,1.000488
6,40.665370371524844,35.57973376343901,5.085636608085829,1097.83,22960.32,93.72653101322061,57.2649046402621,89.2409,0.672384,86.56,91.2427,16.0,74.2422,1.000488
7,40.84876697178585,35.55251992233575,5.296247049450097,1097.24,22948.12,93.75982969196289,57.2650566696141,89.2884,0.67461,85.88,91.2427,16.0,74.2422,1.000488
8,41.04252278294974,35.54981520304837,5.492707579901374,1097.19,22947.1,93.70958038526014,57.15063314949874,89.2923,0.67696,85.21,91.2427,16.0,74.2422,1.000488
9,41.14812434083336,35.46781525044122,5.680309090392151,1093.61,22872.22,93.66587169374581,57.05809548943609,89.5847,0.6777190000000001,84.54,91.2427,16.0,74.2422,1.000488
10,41.34543807460328,35.46353108293192,5.88190699167136,1093.44,22868.52,93.74474924963015,57.052402394990416,89.5992,0.6799059999999999,83.87,91.2427,16.0,74.2422,1.000488
11,41.53895513347914,35.45242044279588,6.086534690683271,1090.07,22798.02,93.73335217733599,57.018594363471465,89.8762,0.6824969999999999,83.19,91.2427,16.0,74.2422,1.000488
12,41.65595316390442,35.37479111010525,6.281162053799172,1092.41,22846.95,93.63391188882683,56.90580737202847,89.6837,0.684995,82.51,91.2427,16.0,74.2422,1.000488
13,41.807523622571004,35.33796791562428,6.469555706946718,1089.55,22787.29,93.62257947453976,56.86039175838846,89.9185,0.6865739999999999,81.85,91.2427,16.0,74.2422,1.000488
14,41.98275932492094,35.31235026061554,6.670409064305412,1088.1,22756.93,93.61418805751114,56.754855934519284,90.0385,0.689234,81.17,91.2427,16.0,74.2422,1.000488
15,42.141543609692015,35.2770769110251,6.86446669866692,1086.31,22719.35,93.64402415844106,56.73928703710238,90.1874,0.690647,80.49,91.2427,16.0,74.2422,1.000488
16,42.29022610411173,35.23047048665474,7.059755617456988,1084.52,22681.92,93.56629065503165,56.66683374600335,90.3363,0.692748,79.82,91.2427,16.0,74.2422,1.000488
17,42.43162441965625,35.17977365491291,7.251850764743352,1084.15,22674.34,93.5463560325919,56.634069400576216,90.3664,0.694898,79.16,91.2427,16.0,74.2422,1.000488
18,42.61771045803761,35.17109142874015,7.446619029297455,1082.19,22633.27,93.59271329912971,56.52608883762867,90.5305,0.697286,78.48,91.2427,16.0,74.2422,1.000488
19,42.7753098324877,35.13077012266418,7.644539709823523,1079.73,22581.74,93.5380264293105,56.47558460438401,90.737,0.6996169999999999,77.8,91.2427,16.0,74.2422,1.000488
20,42.94343578710086,35.10697033514194,7.836465451958927,1081.3,22614.62,93.54740561144828,56.41667550919282,90.6051,0.700591,77.13,91.2427,16.0,74.2422,1.000488
21,43.09439210390052,35.06540100569323,8.028991098207284,1078.69,22560.03,93.48034923053469,56.36435012943339,90.8243,0.7022609999999999,76.47,91.2427,16.0,74.2422,1.000488
22,43.25840669926301,35.027296907963525,8.231109791299493,1077.13,22527.37,93.55730754490327,56.36203788223627,90.956,0.7049589999999999,75.79,91.2427,16.0,74.2422,1.000488
23,43.424231945053634,35.00279913701478,8.421432808038842,1076.79,22520.35,93.5339177611905,56.28583393045008,90.9844,0.706192,75.12,91.2427,16.0,74.2422,1.000488
24,43.559765268512585,34.95229337991887,8.60747188859372,1074.43,22471.08,93.49658457458885,56.200755789449985,91.1839,0.708974,74.44,91.2427,16.0,74.2422,1.000488
25,43.72941750624958,34.92592376826481,8.80349373798477,1073.54,22452.43,93.49400722936564,56.186809565128776,91.2596,0.71068,73.76,91.2427,16.0,74.2422,1.000488
26,43.860570223562355,34.87174736259032,8.988822860972027,1071.85,22416.93,93.48411056370854,56.16175754951777,91.4041,0.713299,73.1,91.2427,16.0,74.2422,1.000488
27,44.00567150198201,34.82828727283626,9.17738422914574,1071.9,22418.13,93.45668222428752,56.063849810294975,91.3992,0.714398,72.42,91.2427,16.0,74.2422,1.000488
28,44.12425821309038,34.7645762797397,9.359681933350672,1070.38,22386.25,93.42071820258928,55.993610831379975,91.5294,0.717337,71.75,91.2427,16.0,74.2422,1.000488
29,44.330723000357814,34.771000526611935,9.559722473745872,1069.16,22360.76,93.4325739526851,55.92899631726278,91.6337,0.7189450000000001,71.07,91.2427,16.0,74.2422,1.000488
30,44.45180867911856,34.705771531530665,9.746037147587892,1068.93,22356.02,93.36103117088417,55.87900699188279,91.6532,0.72117,70.41,91.2427,16.0,74.2422,1.000488
31,44.63544889697784,34.695811644913846,9.939637252064001,1066.97,22314.99,93.38161522036913,55.82834392462858,91.8217,0.723604,69.73,91.2427,16.0,74.2422,1.000488
32,44.763861252813015,34.64195104504222,10.121910207770794,1066.32,22301.41,93.29858425898746,55.698787861430745,91.8776,0.724734,69.06,91.2427,16.0,74.2422,1.000488
33,44.94465206096942,34.6297251847378,10.314926876231622,1064.18,22256.59,93.34295512903807,55.6769721996877,92.0626,0.7259829999999999,68.38,91.2427,16.0,74.2422,1.000488
34,44.746726270442586,34.32533625865443,10.421390011788146,1062.43,22219.93,92.53481669230013,55.17622274685986,92.2145,0.7252430000000001,67.72,91.2427,16.0,74.2422,1.000488
35,43.93029588671028,33.55166313835509,10.378632748355187,1061.28,22195.95,89.45701467737234,53.075675543826826,92.3141,0.725099,67.04,91.2427,16.0,74.2422,1.000488
36,43.34607604349745,32.95879254263797,10.38728350085948,1053.41,22031.42,87.3061803448276,51.60154610940714,93.0035,0.7241599999999999,66.36,91.2427,16.0,74.2422,1.000488
37,42.27873993800693,32.00362672704363,10.275113210963298,1031.03,21563.35,84.04343526503631,49.48820629674106,95.0224,0.723013,65.69,91.2427,16.0,74.2422,1.000488
38,41.8460691011948,31.537267361050382,10.308801740144412,1004.39,21006.13,82.20213041393117,48.21004395270579,97.5429,0.7231040000000001,65.03,91.2427,16.0,74.2422,1.000488
39,40.91176564605662,30.689281561313226,10.222484084743398,982.2,20542.16,79.59986218224775,46.584993062837505,99.7461,0.722938,64.35,91.2427,16.0,74.2422,1.000488
40,40.32249878038864,30.117864308199174,10.204634472189463,960.05,20078.88,77.67903647965836,45.29184089173887,102.0475,0.723428,63.67,91.2427,16.0,74.2422,1.000488
41,39.613209587851806,29.45182715652218,10.161382431329628,938.39,19625.77,75.74449366095325,44.12836279032399,104.4036,0.722468,63.0,91.2427,16.0,74.2422,1.000488
42,39.09061783579618,28.942945346830367,10.147672488965815,921.44,19271.26,74.25301544614888,43.2163209560238,106.3241,0.722445,62.33,91.2427,16.0,74.2422,1.000488
43,38.43971206369243,28.336453197748245,10.103258865944179,901.38,18851.66,72.71133343744717,42.333084504048166,108.6907,0.723506,61.65,91.2427,16.0,74.2422,1.000488
44,38.21414160077441,28.062165746440254,10.151975854334156,893.01,18676.79,71.73990421056803,41.66828363200664,109.7084,0.722503,60.98,91.2427,16.0,74.2422,1.000488
45,37.716545133430394,27.581313192479325,10.135231940951066,877.7,18356.44,70.29668941770802,40.76621624390596,111.623,0.723679,60.31,91.2427,16.0,74.2422,1.000488
46,37.217398360341484,27.104099284143572,10.11329907619791,857.65,17937.15,68.83623632806692,39.843936007576254,114.2322,0.722765,59.64,91.2427,16.0,74.2422,1.000488
47,36.646154657945374,26.57432849728398,10.071826160661393,841.84,17606.49,67.53696525262448,39.13007950630285,116.3776,0.722502,58.96,91.2427,16.0,74.2422,1.000488
48,36.20939168335422,26.146082531409025,10.063309151945198,825.14,17257.33,66.32921321452913,38.3785624435343,118.7321,0.724234,58.29,91.2427,16.0,74.2422,1.000488
49,35.69075225176863,25.662639907802305,10.028112343966317,810.15,16943.78,64.97610679693402,37.58262561524554,120.9293,0.721955,57.62,91.2427,16.0,74.2422,1.000488
50,35.420414515559465,25.359366569364056,10.061047946195409,796.16,16651.19,63.94957623385163,36.894708779504626,123.0542,0.721789,56.94,91.2427,16.0,74.2422,1.000488
