Offload Ratio (%),Total DRAM (%),DRAM Read (%),DRAM Write (%),Effective Memory BW (GB/s),Effective Tokens/s,SM Active (%),Tensor Active (%),Avg Step Time (ms),Paged Attention Runtime (ms),Peak GPU Mem (Alloc GB),Total Memory IO (GB),Weights Loaded (GB),KV Cache Read (GB),KV Cache Written (GB)
0,44.94658981377753,41.28060928486777,3.6659805289097602,1367.87,21577.85,92.65508532049748,51.779456718957434,71.2304,0.660855,90.24,90.7427,16.0,73.9922,0.750488
1,45.14058725640988,41.22341581523825,3.9171714411716376,1368.13,21581.85,92.56384433371039,51.62836327883333,71.2172,0.0,89.61,90.7427,16.0,73.9922,0.750488
2,45.285815481435755,41.126137447413,4.159678034022762,1364.37,21522.67,92.53234124145042,51.57302330582041,71.4131,0.666671,88.94,90.7427,16.0,73.9922,0.750488
3,45.53107685750926,41.11740187577453,4.413674981734717,1362.91,21499.57,92.48377975323473,51.42704836133554,71.4898,0.669334,88.26,90.7427,16.0,73.9922,0.750488
4,45.60826701664794,40.95981533424803,4.648451682399904,1360.13,21455.76,92.38250392859167,51.33074561094522,71.6358,0.671716,87.59,90.7427,16.0,73.9922,0.750488
5,45.80001169089916,40.9025844560969,4.897427234802259,1357.61,21415.89,92.45643573665562,51.3360284876161,71.7692,0.673995,86.93,90.7427,16.0,73.9922,0.750488
6,45.93112046645417,40.800928641376615,5.1301918250775485,1353.44,21350.23,92.37096492488224,51.25980002417779,71.9898,0.6762809999999999,86.25,90.7427,16.0,73.9922,0.750488
7,46.17802171759851,40.79898142598484,5.379040291613668,1353.78,21355.55,92.34985560760411,51.12525882524776,71.9719,0.678646,85.58,90.7427,16.0,73.9922,0.750488
8,46.32105637435275,40.6990498521844,5.62200652216835,1352.05,21328.25,92.31821680735855,51.048238227287264,72.0641,0.680584,84.91,90.7427,16.0,73.9922,0.750488
9,46.555080673579404,40.686217891684365,5.8688627818950305,1350.58,21305.09,92.33400619347802,50.966611748784764,72.1424,0.6835289999999999,84.24,90.7427,16.0,73.9922,0.750488
10,46.775566459892204,40.66055016781369,6.115016292078515,1346.81,21245.63,92.29160602376336,50.827728560661086,72.3443,0.68567,83.57,90.7427,16.0,73.9922,0.750488
11,46.8941074967793,40.54133331140939,6.352774185369909,1342.62,21179.57,92.28737961197919,50.790697135495904,72.5699,0.688299,82.9,90.7427,16.0,73.9922,0.750488
12,47.02679699174192,40.440619992009495,6.586176999732422,1343.62,21195.33,92.21464051372199,50.716826747623806,72.516,0.69077,82.22,90.7427,16.0,73.9922,0.750488
13,47.19895614701318,40.37645412953598,6.822502017477194,1340.21,21141.4,92.28322120388317,50.768892468592824,72.701,0.69247,81.56,90.7427,16.0,73.9922,0.750488
14,47.45376131018114,40.3796088051784,7.074152505002749,1337.87,21104.6,92.23344341879816,50.55740033964424,72.8277,0.6952659999999999,80.89,90.7427,16.0,73.9922,0.750488
15,47.64229655883301,40.32868890275636,7.313607656076652,1337.37,21096.68,92.10539327411345,50.425387070461305,72.8551,0.697472,80.21,90.7427,16.0,73.9922,0.750488
16,47.82078218745776,40.2716758794094,7.549106308048367,1335.22,21062.82,92.11506748370277,50.343845261914595,72.9722,0.7005549999999999,79.54,90.7427,16.0,73.9922,0.750488
17,47.892909419054476,40.121838553092815,7.771070865961664,1332.36,21017.6,92.14403767317067,50.43633739541817,73.1292,0.7024349999999999,78.88,90.7427,16.0,73.9922,0.750488
18,48.12474634054333,40.11619304099635,8.008553299546982,1330.8,20992.99,92.11314130757326,50.284482300231396,73.2149,0.705038,78.2,90.7427,16.0,73.9922,0.750488
19,48.24885779628642,40.00948960434244,8.239368191943983,1329.59,20973.93,92.02052395256617,50.163347937382966,73.2815,0.707872,77.53,90.7427,16.0,73.9922,0.750488
20,48.440420865600025,39.96646249487619,8.473958370723834,1328.86,20962.4,91.97301121327195,50.06072246196467,73.3218,0.709994,76.86,90.7427,16.0,73.9922,0.750488
21,48.640277401717555,39.92075152189096,8.719525879826596,1324.27,20890.1,92.00555723688032,50.05119164871377,73.5755,0.7118479999999999,76.19,90.7427,16.0,73.9922,0.750488
22,48.806703071533065,39.859832370380424,8.94687070115263,1325.4,20907.85,92.01648300315843,49.95419666013982,73.5131,0.714146,75.52,90.7427,16.0,73.9922,0.750488
23,48.9981555779573,39.81891404334237,9.179241534614919,1324.07,20886.93,91.8962428684738,49.78362537351072,73.5867,0.7162240000000001,74.85,90.7427,16.0,73.9922,0.750488
24,49.18045963853475,39.76360159911211,9.416858039422639,1318.56,20799.93,91.81261927237264,49.66894238721054,73.8945,0.719215,74.17,90.7427,16.0,73.9922,0.750488
25,49.243640259833434,39.61698913103288,9.62665112880056,1320.28,20827.05,91.8490163513232,49.744360268797216,73.7983,0.720183,73.5,90.7427,16.0,73.9922,0.750488
26,49.27682338628765,39.44805963336823,9.828763752919423,1316.06,20760.54,91.32493924492073,49.31590563606932,74.0347,0.720118,72.84,90.7427,16.0,73.9922,0.750488
27,48.49107374457168,38.628602341758544,9.862471402813133,1312.12,20698.4,88.77654693700782,47.70922814033667,74.2569,0.720795,72.17,90.7427,16.0,73.9922,0.750488
28,46.85018618026076,37.12990937220006,9.720276808060714,1306.41,20608.26,83.97893971504824,44.65709785682737,74.5817,0.720939,71.5,90.7427,16.0,73.9922,0.750488
