Offload Ratio (%),Total DRAM (%),DRAM Read (%),DRAM Write (%),Effective Memory BW (GB/s),Effective Tokens/s,SM Active (%),Tensor Active (%),Avg Step Time (ms),Paged Attention Runtime (ms),Peak GPU Mem (Alloc GB),Total Memory IO (GB),Weights Loaded (GB),KV Cache Read (GB),KV Cache Written (GB)
31,37.93614248483634,29.51474095224546,8.421401532590885,1199.74,9547.89,50.20171088914344,18.56966187320295,80.5413,0.712904,69.12,89.9927,16.0,73.6172,0.375488
32,37.230654297955226,28.80578867571923,8.424865622235995,1165.0,9271.38,49.005518622495345,18.136657466123673,82.9434,0.713114,68.45,89.9927,16.0,73.6172,0.375488
33,36.44797661569913,28.030673663567203,8.417302952131928,1133.24,9018.61,47.59603772040766,17.583658193457346,85.2681,0.712005,67.78,89.9927,16.0,73.6172,0.375488
34,35.772677915669206,27.3624076293822,8.410270286287002,1107.17,8811.19,46.42933033862803,17.167375712530774,87.2753,0.7128410000000001,67.12,89.9927,16.0,73.6172,0.375488
35,35.19986283723086,26.766879604936076,8.43298323229479,1079.47,8590.75,45.41243158323235,16.776481431640278,89.5149,0.714726,66.45,89.9927,16.0,73.6172,0.375488
36,34.6215386588032,26.174530079095284,8.44700857970791,1051.06,8364.65,44.40116200885491,16.41461724106772,91.9345,0.713284,65.78,89.9927,16.0,73.6172,0.375488
37,34.17432424516682,25.692618343147824,8.481705902019,1027.74,8179.06,43.58748533777557,16.080962732593562,94.0206,0.713234,65.11,89.9927,16.0,73.6172,0.375488
38,33.54174420501358,25.07552329662789,8.466220908385685,1005.18,7999.51,42.47220194763142,15.680100333317869,96.1308,0.712769,64.45,89.9927,16.0,73.6172,0.375488
39,32.961760849920424,24.501397471596093,8.460363378324331,980.35,7801.93,41.49310356323171,15.315477603062746,98.5653,0.7133590000000001,63.78,89.9927,16.0,73.6172,0.375488
40,32.438898657576914,23.987703544412998,8.451195113163909,959.64,7637.11,40.562738659806676,14.973006746969206,100.6925,0.714539,63.11,89.9927,16.0,73.6172,0.375488
41,31.948183613874185,23.48536164121394,8.46282197266025,939.14,7473.98,39.73862508642165,14.662936748617582,102.8903,0.712643,62.44,89.9927,16.0,73.6172,0.375488
42,31.58628950912129,23.09941754300767,8.486871966113611,918.74,7311.61,39.032932808122744,14.398835934421719,105.1752,0.712778,61.78,89.9927,16.0,73.6172,0.375488
43,30.967648877077963,22.51518900206694,8.452459875011028,900.8,7168.85,38.05992296918014,14.046378024360095,107.2697,0.713585,61.11,89.9927,16.0,73.6172,0.375488
44,30.904133447831065,22.354469412357552,8.549664035473505,890.25,7084.88,37.78008809284393,13.937792394057592,108.541,0.7129030000000001,60.44,89.9927,16.0,73.6172,0.375488
45,30.58252308867619,21.993959809251983,8.5885632794242,869.96,6923.4,37.18358317029893,13.729955064501983,111.0726,0.713886,59.77,89.9927,16.0,73.6172,0.375488
46,30.132782292502963,21.55980973257085,8.572972559932111,855.67,6809.65,36.44058861010598,13.46523755893804,112.928,0.714178,59.11,89.9927,16.0,73.6172,0.375488
47,29.82190839112158,21.221690461222956,8.600217929898625,837.32,6663.62,35.86701968422625,13.242271828545652,115.4027,0.713318,58.44,89.9927,16.0,73.6172,0.375488
48,29.490636241215494,20.8780885374797,8.612547703735794,823.62,6554.62,35.282165534834064,13.02784204497658,117.3218,0.7129589999999999,57.77,89.9927,16.0,73.6172,0.375488
49,28.96540686953236,20.397232202541378,8.568174666990982,808.44,6433.8,34.41338926875258,12.702940931427651,119.525,0.712902,57.11,89.9927,16.0,73.6172,0.375488
50,28.686240132184988,20.08202594502652,8.604214187158474,793.2,6312.51,33.90716533225636,12.51752281799981,121.8217,0.713241,56.43,89.9927,16.0,73.6172,0.375488
