Offload Ratio (%),Total DRAM (%),DRAM Read (%),DRAM Write (%),Effective Memory BW (GB/s),Effective Tokens/s,SM Active (%),Tensor Active (%),Avg Step Time (ms),Paged Attention Runtime (ms),Peak GPU Mem (Alloc GB),Total Memory IO (GB),Weights Loaded (GB),KV Cache Read (GB),KV Cache Written (GB)
0,40.24599056333355,36.40660262285877,3.8393879404747775,1234.97,22663.66,92.6036619791962,54.11670825092261,79.1134,0.659566,90.39,90.9927,16.0,74.1172,0.875488
1,40.44302635091713,36.37738902521823,4.065637325698913,1231.67,22603.18,92.50176373089164,53.92587181753243,79.3251,0.662344,89.76,90.9927,16.0,74.1172,0.875488
2,40.622859765414375,36.33467301093783,4.288186754476545,1227.38,22524.31,92.53687205123138,53.888709173877224,79.6029,0.663959,89.09,90.9927,16.0,74.1172,0.875488
3,40.82479824813474,36.30951813157038,4.51528011656436,1229.5,22563.26,92.53080033128015,53.79482501676349,79.4655,0.666022,88.41,90.9927,16.0,74.1172,0.875488
4,41.028155467749684,36.287957370097736,4.740198097651941,1226.52,22508.6,92.5070554436615,53.70985613038381,79.6584,0.667822,87.74,90.9927,16.0,74.1172,0.875488
5,41.13908870006213,36.187852339057805,4.951236361004322,1227.62,22528.71,92.46531202216674,53.67806522177628,79.5873,0.67015,87.08,90.9927,16.0,74.1172,0.875488
6,41.2412225135116,36.07444422699151,5.1667782865200875,1227.05,22518.26,92.40062162264668,53.58510092779881,79.6243,0.6724049999999999,86.41,90.9927,16.0,74.1172,0.875488
7,41.44170071985327,36.0520523529378,5.38964836691546,1225.13,22483.13,92.43076138211659,53.596725219981344,79.7487,0.674869,85.73,90.9927,16.0,74.1172,0.875488
8,41.596092966416165,35.988388593290104,5.607704373126062,1223.33,22450.13,92.31994922070676,53.44082208540145,79.8659,0.677276,85.06,90.9927,16.0,74.1172,0.875488
9,41.810560006876216,35.98220500464154,5.82835500223467,1219.78,22384.9,92.3701688401697,53.41950924387786,80.0986,0.679836,84.39,90.9927,16.0,74.1172,0.875488
10,41.973728095385674,35.92606240324392,6.047665692141762,1219.42,22378.26,92.34291403512829,53.34182042466689,80.1224,0.682419,83.71,90.9927,16.0,74.1172,0.875488
11,42.14848643790772,35.88368861110023,6.264797826807482,1217.78,22348.14,92.2866795285214,53.21137390852066,80.2304,0.6846570000000001,83.04,90.9927,16.0,74.1172,0.875488
12,42.28545882791792,35.807243130912,6.478215697005915,1217.89,22350.27,92.32983749786152,53.227845002320784,80.2227,0.6869930000000001,82.37,90.9927,16.0,74.1172,0.875488
13,42.437182376332466,35.746903033198095,6.690279343134369,1213.39,22267.67,92.21531694012849,53.09432183433141,80.5203,0.688797,81.7,90.9927,16.0,74.1172,0.875488
14,42.60033575586344,35.69579915481011,6.9045366010533265,1210.72,22218.64,92.28297228189494,53.06474328545586,80.698,0.690846,81.03,90.9927,16.0,74.1172,0.875488
15,42.80608032275376,35.68083707054509,7.125243252208665,1211.51,22233.16,92.15630257858865,52.895637750279946,80.6453,0.69363,80.36,90.9927,16.0,74.1172,0.875488
16,42.952149940256795,35.616056354677156,7.336093585579643,1209.74,22200.62,92.21605290793013,52.92306540580904,80.7635,0.6954170000000001,79.69,90.9927,16.0,74.1172,0.875488
17,43.13065470358287,35.58039115360427,7.550263549978602,1206.5,22141.12,92.13675981422435,52.820474040501246,80.9806,0.6981069999999999,79.01,90.9927,16.0,74.1172,0.875488
18,43.296745917857805,35.53389297585003,7.762852942007774,1204.86,22111.19,92.1280165961779,52.76776622375196,81.0902,0.700067,78.34,90.9927,16.0,74.1172,0.875488
20,43.65321582741941,35.45978589477791,8.193429932641507,1203.37,22083.75,92.14543086786344,52.65013824200216,81.1909,0.704656,77.0,90.9927,16.0,74.1172,0.875488
21,43.842048381960595,35.435523361217136,8.406525020743457,1200.61,22033.15,92.10902444738684,52.51685759637241,81.3774,0.7064429999999999,76.33,90.9927,16.0,74.1172,0.875488
22,43.99202877560424,35.369130061300446,8.622898714303803,1199.76,22017.59,92.03748437122864,52.46673182978349,81.4349,0.709586,75.66,90.9927,16.0,74.1172,0.875488
23,44.14194044877507,35.30806134759624,8.833879101178832,1197.9,21983.39,92.02326430873596,52.39277774785274,81.5616,0.7114389999999999,74.98,90.9927,16.0,74.1172,0.875488
24,44.28982399674603,35.252375778458195,9.03744821828783,1195.98,21948.24,92.07888523831261,52.461416629694895,81.6922,0.712818,74.31,90.9927,16.0,74.1172,0.875488
25,44.450918299900366,35.20124207168046,9.249676228219911,1194.07,21913.06,91.9895194953248,52.27430037218821,81.8234,0.715557,73.63,90.9927,16.0,74.1172,0.875488
26,44.69980003763532,35.230019349181255,9.469780688454069,1191.57,21867.15,92.05839465107388,52.2510742263971,81.9951,0.71839,72.97,90.9927,16.0,74.1172,0.875488
27,44.80550156452303,35.138443189032614,9.667058375490413,1191.55,21866.77,91.96033472825182,52.135664604341144,81.9966,0.720428,72.29,90.9927,16.0,74.1172,0.875488
28,44.97905858995649,35.101653528533866,9.87740506142262,1188.6,21812.71,91.93388246652611,52.05903365164708,82.1998,0.7228559999999999,71.62,90.9927,16.0,74.1172,0.875488
29,45.10694590428956,35.02748212135713,10.079463782932429,1188.16,21804.65,91.95339732636432,52.035538047487265,82.2302,0.722807,70.95,90.9927,16.0,74.1172,0.875488
30,44.667189338903384,34.518342351339754,10.148846987563624,1186.07,21766.28,89.97141541542385,50.697190887246606,82.3751,0.722379,70.28,90.9927,16.0,74.1172,0.875488
31,43.69353428339744,33.60161114416089,10.091923139236542,1184.77,21742.48,86.82994190893149,48.71611108843604,82.4653,0.721911,69.61,90.9927,16.0,74.1172,0.875488
32,42.94694951252425,32.868076142768075,10.078873369756169,1165.13,21381.95,84.26344027407573,47.04741843649896,83.8558,0.721475,68.94,90.9927,16.0,74.1172,0.875488
