Offload Ratio (%),Total DRAM (%),DRAM Read (%),DRAM Write (%),Effective Memory BW (GB/s),Effective Tokens/s,SM Active (%),Tensor Active (%),Avg Step Time (ms),Paged Attention Runtime (ms),Peak GPU Mem (Alloc GB),Total Memory IO (GB),Weights Loaded (GB),KV Cache Read (GB),KV Cache Written (GB)
16,56.0886455535772,49.543295088628895,6.545350464948309,2133.14,22.26,56.25415252762575,0.760628382896802,44.9214,0.698547,78.7,89.2427,16.0,73.2422,0.000488
17,53.864010479340216,47.24843893444801,6.615571544892209,2037.56,21.26,53.62079828824406,0.7248255017595021,47.0286,0.699607,78.04,89.2427,16.0,73.2422,0.000488
19,50.19899959726819,43.4243387271574,6.774660870110792,1853.27,19.34,49.23751323366014,0.6651959329505921,51.7052,0.698759,76.71,89.2427,16.0,73.2422,0.000488
20,48.594830307597064,41.762154998426055,6.832675309171002,1780.36,18.58,47.346987977226135,0.6403760713593885,53.8227,0.698428,76.04,89.2427,16.0,73.2422,0.000488
21,47.4185951759127,40.47840575783921,6.9401894180734915,1710.08,17.85,45.939971056207796,0.6198270758398121,56.0346,0.6998869999999999,75.38,89.2427,16.0,73.2422,0.000488
22,46.21779352118183,39.11688233826358,7.100911182918249,1655.28,17.27,44.378571914677416,0.5990117758843088,57.8898,0.698985,74.72,89.2427,16.0,73.2422,0.000488
23,44.925844996555455,37.77971676590631,7.146128230649149,1594.54,16.64,42.852222272039334,0.5794497206702554,60.0947,0.6993630000000001,74.05,89.2427,16.0,73.2422,0.000488
24,43.53464588853777,36.365547505115295,7.169098383422486,1537.51,16.05,41.17666349644562,0.5559485663562779,62.3238,0.7003619999999999,73.39,89.2427,16.0,73.2422,0.000488
25,42.472376327543714,35.244862335430405,7.227513992113313,1485.07,15.5,39.94667841541648,0.5396384320883433,64.5245,0.698422,72.72,89.2427,16.0,73.2422,0.000488
26,41.37076566671053,34.09583008168927,7.274935585021264,1436.41,14.99,38.60723735891556,0.5212512060746265,66.7106,0.700374,72.06,89.2427,16.0,73.2422,0.000488
27,40.42630084577063,33.10220869222773,7.3240921535429075,1389.42,14.5,37.47320402591882,0.5062771755243574,68.9666,0.699059,71.4,89.2427,16.0,73.2422,0.000488
28,39.442002366954405,32.080738456074805,7.361263910879598,1345.51,14.04,36.301431648824604,0.48987316177517143,71.2175,0.69802,70.73,89.2427,16.0,73.2422,0.000488
29,38.63500261689261,31.243331519328773,7.391671097563847,1304.57,13.61,35.37961925230558,0.47836500620513794,73.452,0.6992240000000001,70.07,89.2427,16.0,73.2422,0.000488
30,37.72940565416236,30.29417298116836,7.435232672994,1268.03,13.23,34.253324400649305,0.4630627890927711,75.5688,0.700149,69.41,89.2427,16.0,73.2422,0.000488
31,36.8319265992236,29.383488452027795,7.448438147195809,1232.16,12.86,33.184275965792295,0.4480231879466023,77.769,0.698942,68.74,89.2427,16.0,73.2422,0.000488
32,36.13960719160594,28.653829843112394,7.4857773484935475,1193.05,12.45,32.362807887187294,0.43760908208469573,80.3183,0.700159,68.08,89.2427,16.0,73.2422,0.000488
33,35.498590560013845,27.966521269026998,7.532069290986845,1164.09,12.15,31.59749544652004,0.4271765747106386,82.3164,0.7014239999999999,67.41,89.2427,16.0,73.2422,0.000488
34,34.828972507487904,27.265161701545562,7.563810805942337,1131.95,11.81,30.800585912400674,0.41661081335090944,84.6537,0.7006760000000001,66.75,89.2427,16.0,73.2422,0.000488
35,34.15790030605788,26.578763002667873,7.579137303390014,1103.58,11.52,30.00888723122675,0.4056195088050129,86.8301,0.698991,66.09,89.2427,16.0,73.2422,0.000488
36,33.66264208819123,26.029991725919167,7.632650362272053,1075.2,11.22,29.4025374534855,0.396339757656573,89.1217,0.700144,65.42,89.2427,16.0,73.2422,0.000488
37,33.06531052094089,25.41229358900639,7.653016931934506,1049.41,10.95,28.680393617351672,0.38756415568456926,91.3117,0.698785,64.76,89.2427,16.0,73.2422,0.000488
38,32.45517294616297,24.79371848417959,7.661454461983384,1027.27,10.72,27.968108845823885,0.3777902530589097,93.2798,0.7003550000000001,64.1,89.2427,16.0,73.2422,0.000488
39,31.957507729436173,24.267574132200625,7.689933597235547,1001.01,10.45,27.388115451737693,0.36992442770140244,95.7268,0.698761,63.43,89.2427,16.0,73.2422,0.000488
40,31.376095152235827,23.682249722183418,7.693845430052404,979.31,10.22,26.669293590153185,0.36057351303835733,97.8479,0.698514,62.77,89.2427,16.0,73.2422,0.000488
41,30.98150176974223,23.25294529062844,7.7285564791137915,957.69,9.99,26.226350804622122,0.35423575826204334,100.0571,0.6990919999999999,62.1,89.2427,16.0,73.2422,0.000488
42,30.47917104709641,22.744084216973523,7.735086830122889,936.67,9.77,25.642719284142576,0.3464779195218053,102.3025,0.697802,61.44,89.2427,16.0,73.2422,0.000488
43,30.06129765441642,22.300185019789765,7.761112634626663,917.33,9.57,25.15345370229315,0.339705966284825,104.4596,0.698985,60.78,89.2427,16.0,73.2422,0.000488
44,29.96948677458116,22.078121337349742,7.89136543723142,906.82,9.46,24.876364136445446,0.3359538293804745,105.6697,0.701619,60.11,89.2427,16.0,73.2422,0.000488
45,29.480256448786726,21.58893770002655,7.891318748760173,887.82,9.27,24.302608717153117,0.32869216429421544,107.9315,0.700258,59.45,89.2427,16.0,73.2422,0.000488
46,29.16962944137756,21.242168305822517,7.927461135555044,868.99,9.07,23.93914389254986,0.323172659529881,110.2697,0.6996180000000001,58.79,89.2427,16.0,73.2422,0.000488
47,28.76937980521952,20.827321616301724,7.942058188917798,852.47,8.9,23.44586300990969,0.31641426731636135,112.4071,0.699342,58.12,89.2427,16.0,73.2422,0.000488
48,28.425253081718086,20.463594888376107,7.961658193341975,837.22,8.74,23.04244518968302,0.3114737769598686,114.4539,0.700942,57.46,89.2427,16.0,73.2422,0.000488
49,28.10574121830738,20.117094967655905,7.988646250651473,820.85,8.57,22.663537170689725,0.30624040153859267,116.7375,0.697755,56.79,89.2427,16.0,73.2422,0.000488
50,27.69626060957225,19.706644976064194,7.989615633508053,806.14,8.41,22.161101330273283,0.29908707872395063,118.8669,0.700625,56.13,89.2427,16.0,73.2422,0.000488
